
/
^.{5}$
/
gm
^ asserts position at start of a line
. matches any character (except for line terminators)
{5} matches the previous token exactly 5 times
$ asserts position at the end of a line
Global pattern flags 
g modifier: global. All matches (don't return after first match)
m modifier: multi line. Causes ^ and $ to match the begin/end of each line (not only begin/end of string)
12-17	abadi
84-89	abiti
90-95	abjad
132-137	abses
243-248	acara
274-279	acuan
702-707	aduan
900-905	afiks
976-981	agama
1030-1035	ageng
1257-1262	agung
1315-1320	ahutu
1391-1396	ajaib
1407-1412	ajang
1418-1423	ajara
1424-1429	ajeng
1487-1492	akaid
1543-1548	akbar
1554-1559	akhir
1578-1583	aking
1751-1756	aksep
1777-1782	akses
1836-1841	aktif
1949-1954	aktor
2000-2005	akuan
2107-2112	al-ab
2185-2190	alami
2199-2204	alang
2246-2251	alari
2589-2594	allah
2842-2847	amalo
2853-2858	amang
2882-2887	amato
2904-2909	ambah
2917-2922	ambar
2923-2928	amber
2969-2974	ambik
2975-2980	ambil
2989-2994	ambin
3032-3037	ambon
3049-3054	ambuh
3280-3285	amino
3358-3363	among
3372-3377	amorf
3389-3394	ampai
3409-3414	ampat
3431-3436	amril
3566-3571	ancak
3597-3602	andai
3617-3622	andap
3703-3708	aneka
3758-3763	angan
3874-3879	angin
3916-3921	angit
3922-3927	angka
4069-4074	anglo
4108-4113	angsa
4135-4140	angus
4210-4215	anjak
4407-4412	antar
5368-5373	anyam
5391-5396	aorta
5452-5457	apkir
5458-5463	apnea
5574-5579	apung
5641-5646	arang
5782-5787	arkus
5788-5793	aroma
5816-5821	arsip
5898-5903	artis
5949-5954	arwah
6142-6147	askot
6207-6212	aspek
6238-6243	aster
6393-6398	atlet
6470-6475	audio
6487-6492	audit
6515-6520	auger
6873-6878	babak
6897-6902	babat
6929-6934	bacem
6935-6940	badai
6941-6946	badak
6947-6952	badal
6953-6958	badan
6959-6964	badar
6970-6975	badui
6976-6981	badut
6982-6987	bagai
6988-6993	bagan
7032-7037	bahan
7045-7050	bahar
7072-7077	bahas
7167-7172	baiti
7206-7211	bajak
7253-7258	bajul
7268-7273	bakal
7274-7279	bakar
7280-7285	bakas
7286-7291	bakat
7292-7297	bakau
7305-7310	bakda
7329-7334	bakit
7404-7409	bakti
7415-7420	bakul
7452-7457	balai
7458-7463	balam
7471-7476	balas
7499-7504	balek
7543-7548	balig
7549-7554	balik
7574-7579	balin
7625-7630	balok
7631-7636	balon
7662-7667	bambu
7672-7677	banar
7685-7690	banda
7725-7730	bando
7973-7978	bantu
8000-8005	banya
8070-8075	bapak
8100-8105	bapra
8139-8144	barah
8153-8158	barak
8167-8172	baran
8216-8221	barat
8291-8296	baris
8316-8321	barli
8415-8420	barut
8425-8430	basah
8431-8436	basal
8465-8470	batak
8471-8476	batal
8484-8489	batas
8506-8511	batik
8512-8517	batil
8518-8523	batin
8524-8529	batis
8553-8558	batuk
8582-8587	baung
8605-8610	bawah
8611-8616	bawal
8624-8629	bawat
8635-8640	bayam
8641-8646	bayan
8683-8688	bayar
8699-8704	bayur
8714-8719	beban
8731-8736	bebas
8737-8742	becak
8748-8753	bedah
8754-8759	bedak
8760-8765	bedil
8780-8785	bedol
8832-8837	behel
8852-8857	bekas
8886-8891	bekti
8902-8907	belah
9010-9015	belas
9032-9037	belek
9074-9079	belia
9105-9110	belit
9209-9214	belut
9222-9227	benam
9258-9263	benda
9396-9401	benih
9452-9457	benua
10019-10024	beras
10036-10041	berat
11100-11105	beres
15014-15019	berok
18975-18980	besan
18981-18986	besar
19001-19006	beser
19026-19031	besok
19076-19081	betis
19082-19087	beton
19099-19104	betul
19117-19122	biala
19123-19128	biang
19134-19139	biasa
19147-19152	biaya
19153-19158	bibir
19177-19182	bidai
19183-19188	bidal
19189-19194	bidan
19209-19214	bidik
19215-19220	biduk
19243-19248	bijak
19254-19259	bijih
19325-19330	bilih
19331-19336	bilik
19380-19385	biner
19468-19473	biola
19685-19690	biota
19789-19794	bisuh
19795-19800	bisul
19817-19822	biuku
19885-19890	blalo
20103-20108	blong
20131-20136	blora
20173-20178	bobak
20186-20191	bobar
20214-20219	bobor
20220-20225	bobot
